goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkTryParseIntSlice-8                               	36708613	        32.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseIntSlice-8                               	36109682	        32.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseIntSlice-8                               	37238505	        32.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseIntSlice-8                               	36907320	        33.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseIntSlice-8                               	37366782	        32.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseStringSlice-8                            	53124572	        23.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseStringSlice-8                            	50346746	        23.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseStringSlice-8                            	52829980	        22.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseStringSlice-8                            	52944583	        22.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseStringSlice-8                            	52871782	        22.94 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	pkg.gostartkit.com/web	341.260s
